BALME;ENRICO BOSELLI ;PARTITO SOCIALISTA;0;;
BALME;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;0;;
BALME;FLAVIA D'ANGELI ;SINISTRA CRITICA;1;;
BALME;STEFANO MONTANARI ;PER IL BENE COMUNE;0;;
BALME;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;0;;
BALME;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;0;;
BALME;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;2;;
BANCHETTE;WALTER VELTRONI ;PARTITO DEMOCRATICO;843;;
BANCHETTE;;DI PIETRO ITALIA DEI VALORI;114;;
BANCHETTE;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';645;;
BANCHETTE;;LEGA NORD;144;;
BANCHETTE;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;92;;
BANCHETTE;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;92;;
BANCHETTE;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;78;;
BANCHETTE;STEFANO DE LUCA ;P.LIBERALE ITALIANO;12;;
BANCHETTE;ENRICO BOSELLI ;PARTITO SOCIALISTA;24;;
BANCHETTE;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;4;;
BANCHETTE;FLAVIA D'ANGELI ;SINISTRA CRITICA;15;;
BANCHETTE;STEFANO MONTANARI ;PER IL BENE COMUNE;7;;
BANCHETTE;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;20;;
BANCHETTE;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1;;
BANCHETTE;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;7;;
BARBANIA;WALTER VELTRONI ;PARTITO DEMOCRATICO;257;;
BARBANIA;;DI PIETRO ITALIA DEI VALORI;42;;
BARBANIA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';357;;
BARBANIA;;LEGA NORD;173;;
BARBANIA;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;30;;
BARBANIA;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;63;;
BARBANIA;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;39;;
BARBANIA;STEFANO DE LUCA ;P.LIBERALE ITALIANO;9;;
BARBANIA;ENRICO BOSELLI ;PARTITO SOCIALISTA;10;;
BARBANIA;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;0;;
BARBANIA;FLAVIA D'ANGELI ;SINISTRA CRITICA;5;;
BARBANIA;STEFANO MONTANARI ;PER IL BENE COMUNE;0;;
BARBANIA;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;6;;
BARBANIA;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1;;
BARBANIA;BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;6;;
BARDONECCHIA;WALTER VELTRONI ;PARTITO DEMOCRATICO;403;;
BARDONECCHIA;;DI PIETRO ITALIA DEI VALORI;65;;
BARDONECCHIA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';912;;
BARDONECCHIA;;LEGA NORD;242;;
BARDONECCHIA;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;32;;
BARDONECCHIA;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;82;;
BARDONECCHIA;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;124;;
BARDONECCHIA;STEFANO DE LUCA ;P.LIBERALE ITALIANO;9;;
BARDONECCHIA;ENRICO BOSELLI ;PARTITO SOCIALISTA;12;;
BARDONECCHIA;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;3;;
BARDONECCHIA;FLAVIA D'ANGELI ;SINISTRA CRITICA;5;;
BARDONECCHIA;STEFANO MONTANARI ;PER IL BENE COMUNE;5;;
BARDONECCHIA;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;1;;
BARDONECCHIA;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;0;;
