SAN PIETRO VAL LEMINA ;1244;1021;10;40;
SAN PONSO ;242;198;3;15;
SAN RAFFAELE CIMENA ;2393;1986;6;62;
SAN SEBASTIANO DA PO ;1572;1293;12;56;
SAN SECONDO DI PINEROLO ;2887;2354;21;109;
SANT'AMBROGIO DI TORINO ;3634;2959;23;153;
SANT'ANTONINO DI SUSA ;3376;2666;17;118;
SANTENA ;8231;6723;76;307;
SAUZE DI CESANA ;213;177;1;7;
SAUZE D'OULX ;910;692;0;11;
SCALENGHE ;2631;2203;19;72;
SCARMAGNO ;642;573;20;46;
SCIOLZE ;1177;958;5;18;
SESTRIERE ;670;556;5;18;
SETTIMO ROTTARO ;444;364;5;20;
SETTIMO TORINESE ;38295;30925;170;1038;
SETTIMO VITTONE ;1307;987;20;69;
SPARONE ;894;669;17;43;
STRAMBINELLO ;213;173;1;6;
STRAMBINO ;5182;4146;31;158;
SUSA ;5302;4000;37;217;
TAVAGNASCO ;632;470;12;34;
TORINO ;696743;546384;2791;15585;
TORRAZZA PIEMONTE ;2084;1755;20;79;
TORRE CANAVESE ;523;405;0;11;
TORRE PELLICE ;3797;2930;25;131;
TRANA ;2993;2491;21;86;
TRAUSELLA ;120;75;0;5;
TRAVERSELLA ;317;219;8;25;
TRAVES ;486;356;6;24;
TROFARELLO ;8815;7394;46;290;
USSEAUX ;158;121;1;4;
USSEGLIO ;198;137;2;7;
VAIE ;1154;898;8;59;
VAL DELLA TORRE ;3118;2483;16;101;
VALLO TORINESE ;632;536;4;14;
VALGIOIE ;732;555;1;28;
VALPERGA ;2559;2039;26;89;
VALPRATO SOANA ;111;76;2;5;
VARISELLA ;659;528;11;36;
VAUDA CANAVESE ;1233;969;15;51;
VENARIA REALE ;28011;22907;118;733;
VENAUS ;796;593;8;52;
VEROLENGO ;4006;3330;35;175;
VERRUA SAVOIA ;1223;946;21;57;
VESTIGNE' ;719;583;5;19;
VIALFRE' ;208;179;3;6;
VICO CANAVESE ;751;515;9;32;
VIDRACCO ;438;376;5;9;
VIGONE ;4323;3485;37;155;
VILLAFRANCA PIEMONTE ;3884;3207;39;109;
VILLANOVA CANAVESE ;840;671;11;39;
VILLARBASSE ;2582;2200;22;76;
VILLAR DORA ;2367;1889;17;83;
VILLAREGGIA ;838;701;12;34;
VILLAR FOCCHIARDO ;1707;1313;17;76;
VILLAR PELLICE ;1002;709;7;46;
VILLAR PEROSA ;3490;2705;25;142;
VILLASTELLONE ;3758;3170;25;119;
VINOVO ;11068;9407;80;339;
